IDS,root,Reply,meta reply
1," @CNNChile <COREF CAD=1 IDE=1> José Antonio Kast </COREF>presentó <COREF CAD=2 IDE=2> carta </COREF> al rector de la <COREF CAD=3 IDE=3> UdeC </COREF> acusando <COREF CAD=4 IDE=4> ""discriminación"" </COREF>http://bit.ly/2tPYKHQ  #CNNChile",,
1,, @Francis32060914 Lamentablemente en este pais aun debemos aceptar la tolerancia de los intolerantes. Para unos si y para otros no. Todo mi apoyo contigo  <COREF CAD=1 IDE=1> @joseantoniokast </COREF>y todo mi apoyo para este gobierno.,
1,," @Julio_M_UE Si Ud. es un acerrimo defensor de la libertad y la propiedad privada, no puede sentirse <COREF CAD=4 IDE=1>discriminado</COREF>, pues la <COREF CAD=3 IDE=2> UdeC</COREF> es privada, y se reservara el derecho de admitir en su propiedad a quien estime conveniente.",
2," @CNNChile El duro tweet de <COREF CAD=1 IDE=1> Evo Morales</COREF>: ""<COREF CAD=2 IDE=2> Chile</COREF> nos sometió al <COREF CAD=3 IDE=3> infierno </COREF>más largo e injusto de la historia"" http://bit.ly/2ph0eWe  #CNNChile",,
2,," @sonico1958 <COREF CAD=1 IDE=1> Cuando va a entender</COREF> que nunca nace con territorio marítimo. Que el no cumplir un tratado, invalido la posibilidad de tener mar. Que al  hacerle la guerra a <COREF CAD=2 IDE=2>Chile</COREF>, incitando a Peru a participar, huyendo y perdiendo, fue peor para ellos. 
Eso es lo real .....",
2,," @ccgpmp El día domingo eran mal interpretaciones, éramos pueblos hermanos ...<COREF CAD=1 IDE=1> este tipo </COREF>o es bipolar o lo lleva al nivel de chauvinismo",
3, @CNNChile <COREF CAD=1 IDE=1>Diputados</COREF> aprueban <COREF CAD=2 IDE=2>proyecto</COREF> que <COREF CAD=3 IDE=3>aumenta</COREF> de 15 a 20 días las <COREF CAD=4 IDE=4>vacaciones</COREF> http://bit.ly/2pleXj5  #CNNChile,,
3,, @Tuerto_Con_Pena <COREF CAD=1 IDE=1>Podrían</COREF> haber bajado las horas laborales a 40 o 35,
3,,," @vertigopop360 Sabes cuál sería la consecuencia?...crees que tu valor de http://HH.EE . aumentaría?...nicagando, en resumen, menos horas, menos sueldo"
3,," @Jorgito31576283 Y <COREF CAD=1 IDE=1>ellos</COREF>  cuanto se aumentan sus <COREF CAD=4 IDE=2>vacaciones</COREF> ?
Flojos de mierda 
El primer día solo asistieron(y no a trabajar) 
60 huevones flojos despistados 
Y ahora con gran esfuerzo y trabajo neural  se preocupan de las <COREF CAD=4 IDE=3>vacaciones</COREF> .
Y los niños del Sename
Los adultos mayores",
4, @CNNChile  <COREF CAD=1 IDE=1> Paula Narváez </COREF>confirmó la  <COREF CAD=2 IDE=2>convicción</COREF> de  <COREF CAD=3 IDE=3> Bachelet</COREF> de  <COREF CAD=4 IDE=4> modificar</COREF>  <COREF CAD=5 IDE=5> Punta Peuco http</COREF>://bit.ly/2GydxtK  #CNNChile,,
4,," @lam_roxany Lástima q la "" <COREF CAD=2 IDE=1>convicción</COREF>"" le llega el último día donde además queda de manifiesto <COREF CAD=3 IDE=2>su</COREF> nula habilidad de mando .",
4,," @mvfotografias <COREF CAD=3 IDE=1>Si hubiese tenido <COREF CAD=2 IDE=2>convicción no espera el último instante, mentirosa.",
4,, @elnazho1 2 <COREF CAD=2 IDE=1>Gobiernos</COREF> y no hicieron nada solo se dedicaron a vender humo a la gente para mantenerla feliz. Populistas y pencas Mala mezcla,
5," @CNNChile <COREF CAD=1 IDE=1>Sigue</COREF> la <COREF CAD=2 IDE=2> polémica</COREF> en <COREF CAD=3 IDE=3> @LaRoja!</COREF> <COREF CAD=4 IDE=4> Claudio Bravo</COREF>: “<COREF CAD=4 IDE=5>Yo</COREF> no tengo por qué <COREF CAD=5 IDE=6> rendirle explicaciones</COREF> a nadie""  http://bit.ly/2Gvb7Mj  #CNNChile",,
5,," @rukawe Puta  <COREF CAD=4 IDE=1>el capitan</COREF> wn. La humildad ya la dejo de lado hace rato  <COREF CAD=4 IDE=2>@C1audioBravo</COREF>. Si te llaman a <COREF CAD=3 IDE=3>la selección</COREF> sientete orgulloso, si ya no te pasa y lo ves más cercano a una molestia, es momento de dar un paso al costado y dejar el puesto a alguien que aún lo sienta",
5,,  @Elianawolf Ojala que la caida desde la nube a donde esta no sea tan terrible.,
5,, @csepulvedapaya <COREF CAD=4 IDE=1>A este </COREF>se le fueron los humos a la cabeza...demasiado divismo para un tipo que sólo ataja la pelotita!!!..,
5,," @ignacio_puertas Esos aires de superioridad de jugadores después de ganar un trofeo o por años en x lugar, es patético.",
