ID,count,tag,entity
1,1,ORG,Animal
2,1,ORG,Vida
3,1,ORG,Director
4,1,ORG,Chile es Estado
5,1,ORG,Suprema
6,1,ORG,Malls
7,2,ORG,Rata
8,1,ORG,Hojas
9,3,ORG,Instagram
10,2,ORG,Estado
11,2,PERS,Hermes Soto
12,1,PERS,@joseantoniokast
13,1,OTROS,carta
14,1,ORG, UdeC
15,1,ORG,PDI
16,1,PERS,Carabinero
17,1,PERS,Tuc
18,1,ORG,Demostró
19,1,PERS,Monserrat Bustamante
20,1,PERS,Curro
21,1,PERS,Tucapel Gerardo Varela
22,5,PERS,Daniela
23,1,OTROS,Camión
24,1,PERS,Dani
25,1,ORG,TARADO
26,1,ORG,Fiscalía
27,1,PERS,Ego Morales
28,2,ORG,Frente Amplio
29,1,ORG,Tratado
30,1,PERS,Soto Piñera
31,2,PERS,Claudio Bravo
32,1,PERS,Soto
33,1,ORG,Mall Barón
34,1,ORG,Dama
35,1,PERS,Encarcelamos
36,1,ORG,ONU
37,2,PERS,Presidente
38,1,ORG,Tatayaya Chile Vamos
39,3,ORG,Gobierno
40,1,LUG,Valparaíso
41,1,PERS,Marica
42,1,PERS,Kast
43,1,PERS,Pucha
44,1,ORG,Ministerio Público
45,1,PERS,Giorgio
46,1,LUG,Lollapalooza Chile
47,1,PERS,Mardito
48,1,ORG,Chile un Pais SUBDESARROLLADO TERCERMUNDISTA
49,2,ORG,Educación
50,1,LUG,Valparaiso
51,1,ORG,Punta Peuco 
52,2,LUG,Chile
53,1,ORG,C O M U N I S T A S
54,4,PERS,Gutiérrez
55,1,ORG,Eeeeeeel
56,1,PERS,Harboe
57,1,OTROS,Vida
58,1,ORG,Patria
59,1,ORG,Chile Ministro
60,1,OTROS,Usted
61,1,PERS,JIMENEZ
62,1,PERS,Mándenlo
63,1,ORG,Chile Vamos
64,1,OTROS,Venezolanos
65,1,PERS,Patudes
66,1,ORG,Ame
67,1,ORG,Zurdos
68,2,OTROS,Este
69,1,ORG,Abusador
70,1,ORG,Instituciones
71,2,ORG,Presidente
72,1,OTROS,Haitianos
73,1,PERS,Jackson
74,1,ORG,Social es Grande
75,1,OTROS,Domínicos
76,1,ORG,Socialistas
77,9,PERS,Evo Morales
78,3,PERS,Claudio
79,1,LUG,Chile Alfredo Moreno
80,3,ORG,Roja
81,1,ORG,Haya alli #Cadem
82,1,ORG,EVO MORALES
83,1,PERS,Pavo
84,6,PERS,Tucapel
85,1,ORG,Chile Autoridad
86,1,ORG,DT
87,1,PERS,Maburro
88,1,OTROS,Vega
89,1,PERS,Carlos
90,2,PERS,José Antonio Kast
91,2,ORG,Eres
92,1,ORG,Escuela Militar
93,1,ORG,Autor
94,3,PERS,Orpis
95,1,ORG,Australia Transbank
96,2,LUG,Sudamérica
97,1,PERS,Maldito
98,2,ORG,Izquierda
99,1,PERS,Evito
100,1,PERS,ManPellecer
101,1,ORG,Ella
102,1,PERS,HDp
103,2,ORG,Basura
104,2,PERS,Hawking
105,1,PERS,Estupido
106,1,ORG,Chile Bolivia
107,1,OTROS,Trabajadores
108,3,LUG,Este
109,1,LUG,Mapuche
110,1,OTROS,Basura
111,22,ORG,Bolivia
112,1,OTROS,Encuesta
113,1,PERS,Cecilia
114,1,PERS,Inmigrantes
115,1,PERS,Patricia Politzer
116,1,ORG,Eres @danivega
117,1,ORG,Economía
118,1,LUG,Ciérrenle
119,1,ORG,Senadores
120,1,PERS,Camila Vallejo
121,28,ORG,Chile
122,2,PERS,Jiménez
123,1,PERS,Guillier
124,1,ORG,Gobiernos Bachelet
125,1,PERS,STEDHEN HAWKING
126,5,ORG,Punta Peuco
127,1,LUG,Haya
128,2,ORG,FA
129,1,PERS,Gutirrez
